BIOGUIDE_ID,OFFICE,QUARTER,CATEGORY,DATE,PAYEE,START DATE,END DATE,PURPOSE,AMOUNT,YEAR,TRANSCODE,TRANSCODELONG,RECORDID,RECIP (orig.)
,CHIEF ADMIN OFCR OF THE HOUSE,2014Q2,EQUIPMENT,25-Jun,BLOOMSBURG CARPET INDUSTRIES INC,5/28/14,5/28/14,CARPET,$671.59,FISCAL YEAR 2014,AP,Accounts payable,737366,BLOOMSBURG CARPET INDUSTRIES INC
,CHIEF ADMIN OFCR OF THE HOUSE,2014Q4,EQUIPMENT,4-Nov,BLOOMSBURG CARPET INDUSTRIES INC,10/23/14,10/23/14,CARPET,$836.48,FISCAL YEAR 2014,AP,Accounts payable,758463,BLOOMSBURG CARPET INDUSTRIES INC
P000598,HON. JARED POLIS,2015Q1,EQUIPMENT,20-Jan,CITI PCARD-CARPET VAN INC,11/29/14,12/28/14,CARPET,$900.00,2014,AP,Accounts payable,772401,CITI PCARD-CARPET VAN INC
,CHIEF ADMIN OFCR OF THE HOUSE,2014Q4,EQUIPMENT,3-Oct,BLOOMSBURG CARPET INDUSTRIES INC,9/26/14,9/26/14,CARPET,"$1,101.38",FISCAL YEAR 2014,AP,Accounts payable,753364,BLOOMSBURG CARPET INDUSTRIES INC
,CHIEF ADMIN OFCR OF THE HOUSE,2014Q2,EQUIPMENT,18-Apr,SPONGE-CUSHION INC,4/3/14,4/3/14,CARPET,"$1,107.88",FISCAL YEAR 2014,AP,Accounts payable,726729,SPONGE-CUSHION INC
,CHIEF ADMIN OFCR OF THE HOUSE,2014Q3,EQUIPMENT,20-Aug,SPONGE-CUSHION INC,8/6/14,8/6/14,CARPET,"$1,324.39",FISCAL YEAR 2014,AP,Accounts payable,747554,SPONGE-CUSHION INC
D000621,HON. RON DESANTIS,2015Q1,EQUIPMENT,5-Jan,RODS CARPET TILE & WOOD,12/8/14,12/8/14,CARPET,"$2,114.85",2014,AP,Accounts payable,E0226798,RODS CARPET TILE & WOOD
L000565,HON. DAVID LOEBSACK,2015Q1,EQUIPMENT,20-Jan,RANDYS CARPETS&INTERIORS,12/23/14,12/23/14,CARPET,"$2,940.89",2014,AP,Accounts payable,E0235364,RANDYS CARPETS&INTERIORS
P000604,HON. DONALD PAYNE JR,2014Q3,EQUIPMENT,23-Sep,MASLAND CARPETS,6/10/14,6/10/14,CARPET,"$3,494.21",2013,AP,Accounts payable,752845,MASLAND CARPETS
G000558,HON. BRETT GUTHRIE,2014Q4,EQUIPMENT,20-Nov,,11/18/14,11/18/14,CARPET,"$7,781.29",2014,GL,General ledger,GLA0044300,
R000591,HON. MARTHA ROBY,2014Q4,EQUIPMENT,5-Dec,,12/4/14,12/4/14,CARPET,"$7,817.34",2014,GL,General ledger,GLA0044664,
D000615,HON. JEFF DUNCAN,2014Q4,EQUIPMENT,28-Nov,,11/21/14,11/21/14,CARPET,"$7,996.34",2014,GL,General ledger,GLA0044489,
F000460,HON. BLAKE FARENTHOLD,2014Q4,EQUIPMENT,5-Dec,,12/5/14,12/5/14,CARPET,"$8,021.02",2014,GL,General ledger,GLA0044667,
C000754,HON. JIM COOPER,2015Q1,EQUIPMENT,23-Feb,SHAW INDUSTRIES INC,12/8/14,12/8/14,CARPET,"$10,691.32",2014,AP,Accounts payable,778313,SHAW INDUSTRIES INC
,CHIEF ADMIN OFCR OF THE HOUSE,2014Q4,EQUIPMENT,3-Dec,,11/18/14,11/24/14,CARPET,"$15,777.63",FISCAL YEAR 2015,GL,General ledger,GLA0044590,
,CHIEF ADMIN OFCR OF THE HOUSE,2014Q1,EQUIPMENT,26-Feb,BENTLEY PRINCE STREET,1/24/14,1/24/14,CARPET QTY -,$24.85,FISCAL YEAR 2014,AP,Accounts payable,716054,BENTLEY PRINCE STREET
,SERVICE MANAGEMENT,2014Q3,EQUIPMENT,17-Sep,COMMERCIAL MARKETING ASSOCIATES INC,9/8/14,9/8/14,CARPET QTY -,$210.49,FISCAL YEAR 2014,AP,Accounts payable,752669,COMMERCIAL MARKETING ASSOCIATES INC
,CHIEF ADMIN OFCR OF THE HOUSE,2014Q2,EQUIPMENT,25-Jun,BLOOMSBURG CARPET INDUSTRIES INC,5/28/14,5/28/14,CARPET QTY -,$260.11,FISCAL YEAR 2014,AP,Accounts payable,737366,BLOOMSBURG CARPET INDUSTRIES INC
,CHIEF ADMIN OFCR OF THE HOUSE,2014Q4,EQUIPMENT,4-Nov,BLOOMSBURG CARPET INDUSTRIES INC,10/23/14,10/23/14,CARPET QTY -,$375.89,FISCAL YEAR 2014,AP,Accounts payable,758463,BLOOMSBURG CARPET INDUSTRIES INC
,CHIEF ADMIN OFCR OF THE HOUSE,2014Q4,EQUIPMENT,3-Oct,BLOOMSBURG CARPET INDUSTRIES INC,9/26/14,9/26/14,CARPET QTY -,$388.67,FISCAL YEAR 2014,AP,Accounts payable,753364,BLOOMSBURG CARPET INDUSTRIES INC
,CHIEF ADMIN OFCR OF THE HOUSE,2014Q4,EQUIPMENT,12-Dec,BENTLEY PRINCE STREET,10/24/14,10/31/14,CARPET QTY - 10,$965.00,FISCAL YEAR 2014,AP,Accounts payable,763705,BENTLEY PRINCE STREET
,CHIEF ADMIN OFCR OF THE HOUSE,2014Q4,EQUIPMENT,12-Dec,BENTLEY PRINCE STREET,10/24/14,10/31/14,CARPET QTY - 1000,"$23,289.99",FISCAL YEAR 2014,AP,Accounts payable,763705,BENTLEY PRINCE STREET
,CHIEF ADMIN OFCR OF THE HOUSE,2014Q4,EQUIPMENT,8-Oct,BENTLEY PRINCE STREET,7/25/14,7/25/14,CARPET QTY - 1000,"$56,510.00",FISCAL YEAR 2014,AP,Accounts payable,753548,BENTLEY PRINCE STREET
,CHIEF ADMIN OFCR OF THE HOUSE,2014Q4,EQUIPMENT,8-Oct,BENTLEY PRINCE STREET,9/26/14,9/26/14,CARPET QTY - 1000,"$63,480.00",FISCAL YEAR 2014,AP,Accounts payable,753553,BENTLEY PRINCE STREET
,CHIEF ADMIN OFCR OF THE HOUSE,2014Q4,EQUIPMENT,27-Oct,BRINTONS U S AXMINSTER INC,9/23/14,9/23/14,CARPET QTY - 130,"$7,941.70",FISCAL YEAR 2014,AP,Accounts payable,758095,BRINTONS U S AXMINSTER INC
,CHIEF ADMIN OFCR OF THE HOUSE,2014Q4,EQUIPMENT,12-Dec,BENTLEY PRINCE STREET,10/24/14,10/31/14,CARPET QTY - 1463,"$48,454.56",FISCAL YEAR 2014,AP,Accounts payable,763705,BENTLEY PRINCE STREET
,CHIEF ADMIN OFCR OF THE HOUSE,2014Q4,EQUIPMENT,8-Oct,BENTLEY PRINCE STREET,7/25/14,7/25/14,CARPET QTY - 1500,"$45,390.00",FISCAL YEAR 2014,AP,Accounts payable,753548,BENTLEY PRINCE STREET
,CHIEF ADMIN OFCR OF THE HOUSE,2014Q2,EQUIPMENT,2-Jun,BENTLEY PRINCE STREET,5/5/14,5/5/14,CARPET QTY - 1800,"$66,150.00",FISCAL YEAR 2014,AP,Accounts payable,732546,BENTLEY PRINCE STREET
,CHIEF ADMIN OFCR OF THE HOUSE,2014Q4,EQUIPMENT,12-Dec,BENTLEY PRINCE STREET,10/24/14,10/31/14,CARPET QTY - 20,$465.80,FISCAL YEAR 2014,AP,Accounts payable,763705,BENTLEY PRINCE STREET
,CHIEF ADMIN OFCR OF THE HOUSE,2014Q4,EQUIPMENT,8-Oct,BENTLEY PRINCE STREET,7/25/14,7/25/14,CARPET QTY - 20,$664.40,FISCAL YEAR 2014,AP,Accounts payable,753548,BENTLEY PRINCE STREET
,CHIEF ADMIN OFCR OF THE HOUSE,2014Q4,EQUIPMENT,8-Oct,BENTLEY PRINCE STREET,9/26/14,9/26/14,CARPET QTY - 200,"$4,658.00",FISCAL YEAR 2014,AP,Accounts payable,753553,BENTLEY PRINCE STREET
,CHIEF ADMIN OFCR OF THE HOUSE,2014Q4,EQUIPMENT,12-Dec,BENTLEY PRINCE STREET,10/24/14,10/31/14,CARPET QTY - 2000,"$66,440.00",FISCAL YEAR 2014,AP,Accounts payable,763705,BENTLEY PRINCE STREET
,CHIEF ADMIN OFCR OF THE HOUSE,2014Q2,EQUIPMENT,2-Jun,BENTLEY PRINCE STREET,5/5/14,5/5/14,CARPET QTY - 23.4,$859.95,FISCAL YEAR 2014,AP,Accounts payable,732546,BENTLEY PRINCE STREET
,CHIEF ADMIN OFCR OF THE HOUSE,2014Q4,EQUIPMENT,8-Oct,BENTLEY PRINCE STREET,7/25/14,7/25/14,CARPET QTY - 24,"$1,285.20",FISCAL YEAR 2014,AP,Accounts payable,753548,BENTLEY PRINCE STREET
,CHIEF ADMIN OFCR OF THE HOUSE,2014Q2,EQUIPMENT,14-May,BENTLEY PRINCE STREET,4/22/14,4/22/14,CARPET QTY - 24.6,$850.67,FISCAL YEAR 2014,AP,Accounts payable,727982,BENTLEY PRINCE STREET
,CHIEF ADMIN OFCR OF THE HOUSE,2014Q4,EQUIPMENT,8-Oct,BENTLEY PRINCE STREET,9/26/14,9/26/14,CARPET QTY - 244,"$8,105.68",FISCAL YEAR 2014,AP,Accounts payable,753553,BENTLEY PRINCE STREET
,CHIEF ADMIN OFCR OF THE HOUSE,2014Q1,EQUIPMENT,26-Feb,BENTLEY PRINCE STREET,1/24/14,1/24/14,CARPET QTY - 2529,"$94,812.21",FISCAL YEAR 2014,AP,Accounts payable,716054,BENTLEY PRINCE STREET
,CHIEF ADMIN OFCR OF THE HOUSE,2014Q4,EQUIPMENT,12-Dec,BENTLEY PRINCE STREET,10/24/14,10/31/14,CARPET QTY - 26,$863.72,FISCAL YEAR 2014,AP,Accounts payable,763705,BENTLEY PRINCE STREET
,CHIEF ADMIN OFCR OF THE HOUSE,2014Q4,EQUIPMENT,12-Dec,BENTLEY PRINCE STREET,10/24/14,10/31/14,CARPET QTY - 2600,"$78,676.00",FISCAL YEAR 2014,AP,Accounts payable,763705,BENTLEY PRINCE STREET
,CHIEF ADMIN OFCR OF THE HOUSE,2014Q4,EQUIPMENT,8-Oct,BENTLEY PRINCE STREET,7/25/14,7/25/14,CARPET QTY - 3,$99.67,FISCAL YEAR 2014,AP,Accounts payable,753548,BENTLEY PRINCE STREET
,CHIEF ADMIN OFCR OF THE HOUSE,2014Q4,EQUIPMENT,8-Oct,BENTLEY PRINCE STREET,9/26/14,9/26/14,CARPET QTY - 30,"$1,904.40",FISCAL YEAR 2014,AP,Accounts payable,753553,BENTLEY PRINCE STREET
,CHIEF ADMIN OFCR OF THE HOUSE,2014Q4,EQUIPMENT,8-Oct,BENTLEY PRINCE STREET,9/26/14,9/26/14,CARPET QTY - 300,"$9,078.00",FISCAL YEAR 2014,AP,Accounts payable,753553,BENTLEY PRINCE STREET
,CHIEF ADMIN OFCR OF THE HOUSE,2014Q4,EQUIPMENT,8-Oct,BENTLEY PRINCE STREET,7/25/14,7/25/14,CARPET QTY - 400,"$13,288.00",FISCAL YEAR 2014,AP,Accounts payable,753548,BENTLEY PRINCE STREET
