BIOGUIDE_ID,OFFICE,QUARTER,CATEGORY,DATE,PAYEE,START DATE,END DATE,PURPOSE,AMOUNT,YEAR,TRANSCODE,TRANSCODELONG,RECORDID,RECIP (orig.)
M000312,HON. JAMES P. MCGOVERN,2014Q2,OTHER SERVICES,9-Apr,NEW ENGLAND CLIPPING SERVICE,3/1/14,3/31/14,CLIPPING SERVICE,$ 282.14,2014,AP,Accounts payable,E0139417,NEW ENGLAND CLIPPING SERVICE
M000312,HON. JAMES P. MCGOVERN,2014Q2,OTHER SERVICES,4-Jun,NEW JERSEY CLIPPING SERVICE,5/1/14,5/31/14,CLIPPING SERVICE,$ 320.09,2014,AP,Accounts payable,E0159288,NEW JERSEY CLIPPING SERVICE
C001046,HON. ERIC CANTOR,2014Q2,OTHER SERVICES,9-Jun,VIRGINIA CLIPPING SERVICE,5/1/14,5/31/14,CLIPPING SERVICE,$ 962.45,2014,AP,Accounts payable,E0161452,VIRGINIA CLIPPING SERVICE
H001060,HON. ROBERT HURT,2013Q4,OTHER SERVICES,31-Dec,CRITICAL MENTION,1/1/14,12/31/14,CLIPPING SERVICE,"$ 1,200.00",2013,AP,Accounts payable,E0101991,CRITICAL MENTION
B001252,HON. JOHN BARROW,2014Q3,OTHER SERVICES,13-Aug,CRITICAL MENTION,8/1/14,12/31/14,CLIPPING SERVICE,"$ 1,500.00",2014,AP,Accounts payable,E0184138,CRITICAL MENTION
,COMM ON EDUCATION & WORKFORCE,2014Q4,OTHER SERVICES,20-Oct,FLORIDA CAPTIONING SERVICES,9/10/14,9/10/14,CLOSED CAPTIONING,$ 190.00,2014,AP,Accounts payable,E0200919,FLORIDA CAPTIONING SERVICES
Y000063,HON. KEVIN YODER,2014Q3,OTHER SERVICES,3-Sep,NEXUS INTERPRETING LLC,8/14/14,8/14/14,CLOSED CAPTIONING,$ 200.00,2014,AP,Accounts payable,E0190773,NEXUS INTERPRETING LLC
B001270,HON. KAREN BASS,2015Q1,OTHER SERVICES,19-Feb,TERRY REICH CAPTIONING SERVICES,12/21/14,12/21/14,CLOSED CAPTIONING,$ 245.00,2014,AP,Accounts payable,E0232078,TERRY REICH CAPTIONING SERVICES
,COMM ON EDUCATION & WORKFORCE,2014Q2,OTHER SERVICES,11-Jun,FLORIDA CAPTIONING SERVICES,5/8/14,5/8/14,CLOSED CAPTIONING,$ 285.00,2014,AP,Accounts payable,E0162596,FLORIDA CAPTIONING SERVICES
B001243,HON. MARSHA BLACKBURN,2014Q2,OTHER SERVICES,7-Apr,OPEN DOOR DESIGN AND TECHNOLOGY LLC,3/14/14,3/14/14,CONSULTANT CONTRACT SERVICE,$ 71.25,2014,AP,Accounts payable,E0137185,OPEN DOOR DESIGN AND TECHNOLOGY LLC
