BIOGUIDE_ID,OFFICE,QUARTER,CATEGORY,DATE,PAYEE,START DATE,END DATE,PURPOSE,AMOUNT,YEAR,TRANSCODE,TRANSCODELONG,RECORDID,RECIP (orig.)
D000622,HON. TAMMY DUCKWORTH,2014Q4,PRINTING AND REPRODUCTION,22-Dec,CITI PCARD-GOOGLE ADWS,10/29/14,11/28/14,ADVERTISEMENTS,$0.69,2014,AP,Accounts payable,768172,CITI PCARD-GOOGLE ADWS
N000002,HON. JERROLD NADLER,2014Q3,PRINTING AND REPRODUCTION,24-Aug,CITI PCARD-FACEBK,6/29/14,7/28/14,ADVERTISEMENTS,$1.67,2014,AP,Accounts payable,747662,CITI PCARD-FACEBK
M001188,HON. GRACE MENG,2015Q1,PRINTING AND REPRODUCTION,20-Jan,CITI PCARD-DAILY NEWS KUBRA WEB,11/29/14,12/28/14,ADVERTISEMENTS,$2.45,2014,AP,Accounts payable,772401,CITI PCARD-DAILY NEWS KUBRA WEB
W000815,HON. BRAD R. WENSTRUP,2014Q3,PRINTING AND REPRODUCTION,29-Jul,"RITACCO II, PAUL A",6/1/14,6/30/14,ADVERTISEMENTS,$2.61,2014,AP,Accounts payable,E0178395,"RITACCO II, PAUL A"
B001270,HON. KAREN BASS,2014Q3,PRINTING AND REPRODUCTION,24-Aug,CITI PCARD-FACEBK,6/29/14,7/28/14,ADVERTISEMENTS,$2.71,2014,AP,Accounts payable,747662,CITI PCARD-FACEBK
B001270,HON. KAREN BASS,2014Q2,PRINTING AND REPRODUCTION,20-May,CITI PCARD-FACEBK,3/29/14,4/28/14,ADVERTISEMENTS,$3.37,2014,AP,Accounts payable,732083,CITI PCARD-FACEBK
N000127,HON. RICHARD M. NOLAN,2014Q3,PRINTING AND REPRODUCTION,21-Jul,CITI PCARD-ADQ-INT. CLASSIFIE,5/29/14,6/28/14,ADVERTISEMENTS,$3.95,2014,AP,Accounts payable,742465,CITI PCARD-ADQ-INT. CLASSIFIE
O000170,"HON. BETO O""ROURKE",2014Q2,PRINTING AND REPRODUCTION,19-Jun,CITI PCARD-TWITTER ADVERTISING,4/29/14,5/28/14,ADVERTISEMENTS,$4.74,2014,AP,Accounts payable,737272,CITI PCARD-TWITTER ADVERTISING
D000622,HON. TAMMY DUCKWORTH,2014Q2,PRINTING AND REPRODUCTION,21-Apr,CITI PCARD-GOOGLE ADWS,3/1/14,3/28/14,ADVERTISEMENTS,$7.70,2014,AP,Accounts payable,726853,CITI PCARD-GOOGLE ADWS
P000598,HON. JARED POLIS,2014Q2,PRINTING AND REPRODUCTION,21-Apr,CITI PCARD-FACEBK,3/1/14,3/28/14,ADVERTISEMENTS,$9.97,2014,AP,Accounts payable,726853,CITI PCARD-FACEBK
P000608,HON. SCOTT H. PETERS,2014Q4,PRINTING AND REPRODUCTION,3-Oct,"CAMPBELL, MICHAEL L",7/8/14,7/28/14,ADVERTISEMENTS,$10.00,2014,AP,Accounts payable,753377,"CAMPBELL, MICHAEL L"
J000289,HON. JIM JORDAN,2014Q3,PRINTING AND REPRODUCTION,21-Jul,CITI PCARD-FACEBK,5/29/14,6/28/14,ADVERTISEMENTS,$11.08,2014,AP,Accounts payable,742465,CITI PCARD-FACEBK
V000129,HON. DAVID G. VALADAO,2014Q3,PRINTING AND REPRODUCTION,24-Aug,CITI PCARD-FACEBK,6/29/14,7/28/14,ADVERTISEMENTS,$11.78,2014,AP,Accounts payable,747662,CITI PCARD-FACEBK
T000470,HON. SCOTT R. TIPTON,2014Q4,PRINTING AND REPRODUCTION,24-Nov,CITI PCARD-PAYPAL ROCHELLENEW,10/1/14,10/28/14,ADVERTISEMENTS,$12.00,2014,AP,Accounts payable,763079,CITI PCARD-PAYPAL ROCHELLENEW
G000559,HON. JOHN GARAMENDI,2014Q2,PRINTING AND REPRODUCTION,21-Apr,CITI PCARD-FACEBK,3/1/14,3/28/14,ADVERTISEMENTS,$12.22,2014,AP,Accounts payable,726853,CITI PCARD-FACEBK
C001038,HON. JOSEPH CROWLEY,2014Q3,PRINTING AND REPRODUCTION,5-Sep,"BACKEMEYER, COURTNEY G",8/31/14,8/31/14,ADVERTISEMENTS,$12.29,2014,AP,Accounts payable,E0191560,"BACKEMEYER, COURTNEY G"
H001034,HON. MICHAEL M. HONDA,2014Q2,PRINTING AND REPRODUCTION,20-May,CITI PCARD-FACEBK,3/29/14,4/28/14,ADVERTISEMENTS,$13.19,2014,AP,Accounts payable,732083,CITI PCARD-FACEBK
T000238,HON. MAC THORNBERRY,2014Q2,PRINTING AND REPRODUCTION,26-Jun,"LYNN,ALISON S",4/1/14,4/2/14,ADVERTISEMENTS,$13.72,2014,AP,Accounts payable,E0168003,"LYNN,ALISON S"
N000181,HON. DEVIN NUNES,2015Q1,PRINTING AND REPRODUCTION,20-Jan,CITI PCARD-FACEBK,11/29/14,12/28/14,ADVERTISEMENTS,$14.68,2014,AP,Accounts payable,772401,CITI PCARD-FACEBK
L000580,HON. MICHELLE LUJAN GRISHAM,2015Q1,PRINTING AND REPRODUCTION,19-Feb,CITI PCARD-FACEBOOK,12/29/14,1/2/15,ADVERTISEMENTS,$14.70,2014,AP,Accounts payable,775819,CITI PCARD-FACEBOOK
P000607,HON. MARK POCAN,2014Q1,PRINTING AND REPRODUCTION,21-Feb,CITI PCARD-FACEBK,1/3/14,1/28/14,ADVERTISEMENTS,$15.06,2014,AP,Accounts payable,715879,CITI PCARD-FACEBK
V000129,HON. DAVID G. VALADAO,2014Q1,PRINTING AND REPRODUCTION,21-Feb,CITI PCARD-FACEBK,1/3/14,1/28/14,ADVERTISEMENTS,$17.70,2014,AP,Accounts payable,715879,CITI PCARD-FACEBK
P000593,HON. ED PERLMUTTER,2014Q4,PRINTING AND REPRODUCTION,24-Nov,CITI PCARD-FACEBK,9/29/14,9/30/14,ADVERTISEMENTS,$21.48,2014,AP,Accounts payable,763079,CITI PCARD-FACEBK
P000608,HON. SCOTT H. PETERS,2014Q2,PRINTING AND REPRODUCTION,9-Apr,"CAMPBELL, MICHAEL L",4/1/14,4/1/14,ADVERTISEMENTS,$22.50,2014,AP,Accounts payable,E0139155,"CAMPBELL, MICHAEL L"
P000607,HON. MARK POCAN,2014Q3,PRINTING AND REPRODUCTION,21-Jul,CITI PCARD-FACEBK,5/29/14,6/28/14,ADVERTISEMENTS,$22.96,2014,AP,Accounts payable,742465,CITI PCARD-FACEBK
G000563,HON. BOB GIBBS,2014Q3,PRINTING AND REPRODUCTION,21-Jul,CITI PCARD-FACEBK,5/29/14,6/28/14,ADVERTISEMENTS,$23.91,2014,AP,Accounts payable,742465,CITI PCARD-FACEBK
S001187,HON. STEVE STIVERS,2014Q3,PRINTING AND REPRODUCTION,29-Aug,"WHETSTONE,COURTNEY D",7/10/14,7/10/14,ADVERTISEMENTS,$23.96,2014,AP,Accounts payable,E0189475,"WHETSTONE,COURTNEY D"
M000933,HON. JAMES P. MORAN,2014Q1,PRINTING AND REPRODUCTION,21-Mar,CITI PCARD-LOCAL NEWS NOW LLC,1/29/14,2/28/14,ADVERTISEMENTS,$25.00,2014,AP,Accounts payable,721607,CITI PCARD-LOCAL NEWS NOW LLC
N000182,HON. RANDY NEUGEBAUER,2014Q2,PRINTING AND REPRODUCTION,19-May,KFYO-AM,3/31/14,3/31/14,ADVERTISEMENTS,$25.00,2014,AP,Accounts payable,E0153716,KFYO-AM
N000182,HON. RANDY NEUGEBAUER,2014Q2,PRINTING AND REPRODUCTION,19-May,KFYO-AM,3/31/14,3/31/14,ADVERTISEMENTS,$25.00,2014,AP,Accounts payable,E0153720,KFYO-AM
P000592,HON. TED POE,2014Q3,PRINTING AND REPRODUCTION,24-Aug,CITI PCARD-FACEBOOK,6/29/14,7/28/14,ADVERTISEMENTS,$25.02,2014,AP,Accounts payable,747662,CITI PCARD-FACEBOOK
G000571,HON. TULSI GABBARD,2014Q1,PRINTING AND REPRODUCTION,21-Mar,CITI PCARD-FACEBK,1/29/14,2/28/14,ADVERTISEMENTS,$25.24,2014,AP,Accounts payable,721607,CITI PCARD-FACEBK
K000381,HON. DEREK KILMER,2014Q3,PRINTING AND REPRODUCTION,15-Jul,"SMITH,JONATHAN D",4/29/14,4/30/14,ADVERTISEMENTS,$25.44,2014,AP,Accounts payable,E0173582,"SMITH,JONATHAN D"
C001051,HON. JOHN R. CARTER,2014Q3,PRINTING AND REPRODUCTION,20-Aug,"PENA,NANCY E",7/2/14,7/2/14,ADVERTISEMENTS,$25.53,2014,AP,Accounts payable,E0187014,"PENA,NANCY E"
O000170,"HON. BETO O""ROURKE",2014Q2,PRINTING AND REPRODUCTION,21-Apr,CITI PCARD-FACEBK,3/1/14,3/28/14,ADVERTISEMENTS,$26.07,2014,AP,Accounts payable,726853,CITI PCARD-FACEBK
S001150,HON. ADAM B. SCHIFF,2014Q3,PRINTING AND REPRODUCTION,29-Jul,"BOLAND,PATRICK M",6/4/14,6/4/14,ADVERTISEMENTS,$26.23,2014,AP,Accounts payable,E0178862,"BOLAND,PATRICK M"
S001187,HON. STEVE STIVERS,2014Q3,PRINTING AND REPRODUCTION,7-Aug,"WHETSTONE,COURTNEY D",6/27/14,6/27/14,ADVERTISEMENTS,$26.92,2014,AP,Accounts payable,E0182192,"WHETSTONE,COURTNEY D"
P000607,HON. MARK POCAN,2014Q2,PRINTING AND REPRODUCTION,19-Jun,CITI PCARD-FACEBK,4/29/14,5/28/14,ADVERTISEMENTS,$27.14,2014,AP,Accounts payable,737272,CITI PCARD-FACEBK
G000559,HON. JOHN GARAMENDI,2014Q1,PRINTING AND REPRODUCTION,21-Mar,CITI PCARD-FACEBK,1/29/14,2/28/14,ADVERTISEMENTS,$28.87,2014,AP,Accounts payable,721607,CITI PCARD-FACEBK
,DEMOCRATIC CAUCUS,2014Q4,PRINTING AND REPRODUCTION,21-Oct,CITI PCARD-FACEBOOK,8/29/14,9/28/14,ADVERTISEMENTS,$29.53,2014,AP,Accounts payable,757962,CITI PCARD-FACEBOOK
R000599,HON. RAUL RUIZ,2014Q4,PRINTING AND REPRODUCTION,21-Oct,CITI PCARD-IDYLLWILD HOUSE PUBLIS,8/29/14,9/28/14,ADVERTISEMENTS,$30.00,2014,AP,Accounts payable,757962,CITI PCARD-IDYLLWILD HOUSE PUBLIS
B001270,HON. KAREN BASS,2014Q2,PRINTING AND REPRODUCTION,21-Apr,CITI PCARD-FACEBK,3/1/14,3/28/14,ADVERTISEMENTS,$31.34,2014,AP,Accounts payable,726853,CITI PCARD-FACEBK
R000597,HON. TOM RICE,2014Q3,PRINTING AND REPRODUCTION,21-Jul,CITI PCARD-FACEBK,5/29/14,6/28/14,ADVERTISEMENTS,$32.57,2014,AP,Accounts payable,742465,CITI PCARD-FACEBK
G000571,HON. TULSI GABBARD,2014Q2,PRINTING AND REPRODUCTION,21-Apr,CITI PCARD-FACEBK,3/1/14,3/28/14,ADVERTISEMENTS,$32.77,2014,AP,Accounts payable,726853,CITI PCARD-FACEBK
W000808,HON. FREDERICA S. WILSON,2014Q2,PRINTING AND REPRODUCTION,4-Apr,MIAMI HERALD MEDIA COMPANY,3/1/14,3/1/14,ADVERTISEMENTS,$32.89,2014,AP,Accounts payable,722230,MIAMI HERALD MEDIA COMPANY
S001193,HON. ERIC SWALWELL,2014Q4,PRINTING AND REPRODUCTION,22-Dec,CITI PCARD-TWITTER ADVERTISING,10/29/14,11/28/14,ADVERTISEMENTS,$35.73,2014,AP,Accounts payable,768172,CITI PCARD-TWITTER ADVERTISING
D000622,HON. TAMMY DUCKWORTH,2014Q1,PRINTING AND REPRODUCTION,21-Feb,CITI PCARD-GOOGLE ADWS,1/3/14,1/28/14,ADVERTISEMENTS,$37.76,2014,AP,Accounts payable,715879,CITI PCARD-GOOGLE ADWS
