source_doc,senator_flag,senator_name,raw office,funding_year,fiscal_year,congress_number,reference_page,document_number,date_posted,start_date,end_date,description,salary_flag,amount,payee
113_sdoc22,0,,SGT @ ARMS - IT SUPPORT SERVICES Funding Year 0913 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,913,,,274,V21400001924,1/8/14,9/30/13,9/30/13,PURCHASED SOFTWARE (EXPENDABLE),0,"$ 1,471.80",GENERAL DYNAMICS INFORMATION TECH INC
113_sdoc22,0,,SGT @ ARMS - IT SUPPORT SERVICES Funding Year 1115 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1115,,,288,V21400001840,1/8/14,10/17/13,10/17/13,PURCHASED SOFTWARE (EXPENDABLE),0,$ 43.98,GENERAL DYNAMICS INFORMATION TECH INC
113_sdoc22,0,,SGT @ ARMS - IT SUPPORT SERVICES Funding Year 1115 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1115,,,288,V21400001927,1/8/14,10/17/12,10/17/12,PURCHASED SOFTWARE (EXPENDABLE),0,$ 769.01,GENERAL DYNAMICS INFORMATION TECH INC
113_sdoc22,0,,SGT @ ARMS - IT SUPPORT SERVICES Funding Year 1115 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1115,,,288,V21400001931,1/8/14,10/17/12,10/17/12,PURCHASED SOFTWARE (EXPENDABLE),0,$ 590.88,GENERAL DYNAMICS INFORMATION TECH INC
113_sdoc22,0,,SGT @ ARMS - IT SUPPORT SERVICES Funding Year 1115 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1115,,,288,V21400001937,1/8/14,10/17/12,10/17/12,PURCHASED SOFTWARE (EXPENDABLE),0,$ 81.59,GENERAL DYNAMICS INFORMATION TECH INC
113_sdoc22,0,,SGT @ ARMS - IT SUPPORT SERVICES Funding Year 1115 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1115,,,288,V21400001943,1/8/14,10/17/12,10/17/12,PURCHASED SOFTWARE (EXPENDABLE),0,$ 56.09,GENERAL DYNAMICS INFORMATION TECH INC
113_sdoc22,0,,SGT @ ARMS - IT SUPPORT SERVICES Funding Year 1115 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1115,,,288,V21400001956,1/8/14,10/17/12,10/17/12,PURCHASED SOFTWARE (EXPENDABLE),0,$ 41.04,GENERAL DYNAMICS INFORMATION TECH INC
113_sdoc22,0,,SGT @ ARMS - CENTRAL OPERATIONS Funding Year 1317 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1317,,,307,V21400001869,1/8/14,9/13/13,9/13/13,PURCHASED SOFTWARE (EXPENDABLE),0,"$ 14,550.20",GENERAL DYNAMICS INFORMATION TECH INC
113_sdoc22,0,,SGT @ ARMS - IT SUPPORT SERVICES Funding Year 1115 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1115,,,288,V21400002182,1/13/14,10/1/13,9/30/14,PURCHASED SOFTWARE (EXPENDABLE),0,"$ 5,692.50",SYMPLICITY CORPORATION
113_sdoc22,0,,SGT @ ARMS - STAFF OFFICES Funding Year 1317 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1317,,,325,V21400002403,1/13/14,9/13/13,9/13/13,PURCHASED SOFTWARE (EXPENDABLE),0,"$ 1,447.88",GENERAL DYNAMICS INFORMATION TECH INC
113_sdoc22,0,,SGT @ ARMS - CENTRAL OPERATIONS Funding Year 1418 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1418,,,332,V21400002255,1/13/14,12/13/13,12/13/13,PURCHASED SOFTWARE (EXPENDABLE),0,"$ 1,250.00",SOLIMAR SYSTEMS INC
113_sdoc22,0,,SGT @ ARMS - IT SUPPORT SERVICES Funding Year 1115 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1115,,,288,V21400002359,1/14/14,10/17/13,10/17/13,PURCHASED SOFTWARE (EXPENDABLE),0,$ 67.99,GENERAL DYNAMICS INFORMATION TECH INC
113_sdoc22,0,,SGT @ ARMS - IT SUPPORT SERVICES Funding Year 1115 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1115,,,288,V21400002653,1/17/14,11/1/13,9/30/14,PURCHASED SOFTWARE (EXPENDABLE),0,$ 825.00,CARAHSOFT TECHNOLOGY CORP
113_sdoc22,0,,SGT @ ARMS - IT SUPPORT SERVICES Funding Year 1115 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1115,,,288,V21400002655,1/17/14,11/1/13,9/30/14,PURCHASED SOFTWARE (EXPENDABLE),0,"$ 11,000.00",CARAHSOFT TECHNOLOGY CORP
113_sdoc22,0,,SGT @ ARMS - IT SUPPORT SERVICES Funding Year 1216 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1216,,,296,V21400002573,1/17/14,12/1/13,12/31/13,PURCHASED SOFTWARE (EXPENDABLE),0,"$ 2,577.00",COMPUTERWORKS INC
