source_doc,senator_flag,senator_name,raw office,funding_year,fiscal_year,congress_number,reference_page,document_number,date_posted,start_date,end_date,description,salary_flag,amount,payee
113_sdoc25,1,DEBBIE A. STABENOW,SENATOR DEBBIE A. STABENOW Funding Year 2014 SENATORS OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,2014,,,1709,DSTB21400440,9/29/14,9/3/14,9/3/14, ,0,"$51,700.94",GENERAL DYNAMICS INFORMATION TECH INC
113_sdoc22,0,,"SGT @ ARMS - TECHNOLOGY DEVELOPMENT SERVICES Funding Year 2014 SALARIES, OFFICERS AND EMPLOYEES, SENATE",2014,,,132,,,,,ACTING ENTERPRISE IT OPS TO OCT. 31,1,"$11,355.90","LAPALME, JOSEPH R"
113_sdoc22,0,,"SGT @ ARMS - TECHNOLOGY DEVELOPMENT SERVICES Funding Year 2014 SALARIES, OFFICERS AND EMPLOYEES, SENATE",2014,,,131,,,,,ACTING NETWORK ENGINEERING BRANCH MANAGER,1,"$68,476.13","HILL, WILLIAM A"
113_sdoc25,0,,"SGT @ ARMS - TECHNOLOGY DEVELOPMENT SERVICES Funding Year 2014 SALARIES, OFFICERS AND EMPLOYEES, SENATE",2014,,,134,,,,,ACTING NETWORK ENGINEERING BRANCH MANAGER,1,"$68,817.00","HILL, WILLIAM A"
113_sdoc22,1,MARK UDALL (CO),SENATOR MARK UDALL (CO) Funding Year 2014 SENATORS OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,2014,,,1537,,,,,ADMINISTRATIVE & SYSTEMS DIRECTOR,1,"$56,459.14","FOSSUM, JOHN D"
113_sdoc25,1,MARK UDALL (CO),SENATOR MARK UDALL (CO) Funding Year 2014 SENATORS OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,2014,,,1762,,,,,ADMINISTRATIVE & SYSTEMS DIRECTOR,1,"$59,085.00","FOSSUM, JOHN D"
113_sdoc22,1,TIM KAINE,SENATOR TIM KAINE Funding Year 2014 SENATORS OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,2014,,,1056,,,,,ADMINISTRATIVE DIRECTOR/SYSTEMS ADMINISTRATOR,1,"$50,921.64","WILMOTH, KATHRYN M"
113_sdoc25,1,TIM KAINE,SENATOR TIM KAINE Funding Year 2014 SENATORS OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,2014,,,1192,,,,,ADMINISTRATIVE DIRECTOR/SYSTEMS ADMINISTRATOR,1,"$51,510.00","WILMOTH, KATHRYN M"
113_sdoc22,1,"JOHN D. ROCKEFELLER, IV","SENATOR JOHN D. ROCKEFELLER, IV Funding Year 2014 SENATORS OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT",2014,,,1395,,,,,ADMINISTRATIVE/IT DIRECTOR,1,"$67,486.50","YATES, PAMELA J"
113_sdoc25,1,"JOHN D. ROCKEFELLER, IV","SENATOR JOHN D. ROCKEFELLER, IV Funding Year 2014 SENATORS OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT",2014,,,1595,,,,,ADMINISTRATIVE/IT DIRECTOR TO APR. 18,1,"$11,678.32","YATES, PAMELA J"
113_sdoc22,0,,"MAJORITY CONFERENCE COMMITTEE (D) Funding Year 2014 SALARIES, OFFICERS AND EMPLOYEES, SENATE",2014,,,63,,,,,ASSISTANT SYSTEMS ADMINISTRATOR,1,"$22,500.00","HOUSLEY, JONATHAN"
113_sdoc25,0,,"MAJORITY CONFERENCE COMMITTEE (D) Funding Year 2014 SALARIES, OFFICERS AND EMPLOYEES, SENATE",2014,,,63,,,,,ASSISTANT SYSTEMS ADMINISTRATOR,1,"$24,749.96","HOUSLEY, JONATHAN"
113_sdoc22,0,,FINANCE FINANCE - S.RES. 253B (113TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS ,,,113,1740,,,,,ASSISTANT TO SYSTEMS ADMINISTRATOR,1,"$42,249.93","BLAIR, MARK C"
113_sdoc25,0,,FINANCE FINANCE - S.RES. 253B (113TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS ,,,113,2009,,,,,ASSISTANT TO SYSTEMS ADMINISTRATOR,1,"$47,999.92","BLAIR, MARK C"
113_sdoc22,0,,"SGT @ ARMS - CAPITOL DIVISION Funding Year 2014 SALARIES, OFFICERS AND EMPLOYEES, SENATE",2014,,,123,,,,,AUDIO VISUAL TECHNICIAN,1,"$28,292.19","VELADO, ROGELIO E"
113_sdoc22,0,,"SGT @ ARMS - CAPITOL DIVISION Funding Year 2014 SALARIES, OFFICERS AND EMPLOYEES, SENATE",2014,,,123,,,,,AUDIO VISUAL TECHNICIAN,1,"$25,079.91","VELADO, CARLOS E"
